劄 [U+5284]
劇 [U+5287]
劈 [U+5288]
劉 [U+5289]
劊 [U+528A]
劍 [U+528D]
劑 [U+5291]
力 [U+529B]
劝 [U+529D]
办 [U+529E]
功 [U+529F]
加 [U+52A0]
务 [U+52A1]
劣 [U+52A3]
动 [U+52A8]
助 [U+52A9]
努 [U+52AA]
劫 [U+52AB]
励 [U+52B1]
劲 [U+52B2]
劳 [U+52B3]
労 [U+52B4]
势 [U+52BF]
勁 [U+52C1]
勃 [U+52C3]
勇 [U+52C7]
勉 [U+52C9]
勋 [U+52CB]
勒 [U+52D2]
動 [U+52D5]
勘 [U+52D8]
務 [U+52D9]
勝 [U+52DD]
勞 [U+52DE]
募 [U+52DF]
勢 [U+52E2]
勤 [U+52E4]
勳 [U+52F3]
勵 [U+52F5]
勸 [U+52F8]
勺 [U+52FA]
勻 [U+52FB]
勾 [U+52FE]
勿 [U+52FF]
匀 [U+5300]
包 [U+5305]
匆 [U+5306]
匈 [U+5308]
化 [U+5316]
北 [U+5317]
匙 [U+5319]
匝 [U+531D]
匠 [U+5320]
匡 [U+5321]
匣 [U+5323]
匪 [U+532A]
匯 [U+532F]
匹 [U+5339]
区 [U+533A]
医 [U+533B]
匿 [U+533F]
區 [U+5340]
十 [U+5341]
千 [U+5343]
升 [U+5347]
午 [U+5348]
卉 [U+5349]
半 [U+534A]
华 [U+534E]
协 [U+534F]
卑 [U+5351]
卒 [U+5352]
卓 [U+5353]
協 [U+5354]
单 [U+5355]
卖 [U+5356]
南 [U+5357]
博 [U+535A]
卜 [U+535C]
卞 [U+535E]
占 [U+5360]
卡 [U+5361]
卢 [U+5362]
卤 [U+5364]
卧 [U+5367]
卫 [U+536B]
卯 [U+536F]
印 [U+5370]
危 [U+5371]
即 [U+5373]
却 [U+5374]
卵 [U+5375]
卷 [U+5377]
卸 [U+5378]
卻 [U+537B]
卿 [U+537F]
厂 [U+5382]
厄 [U+5384]
厅 [U+5385]
历 [U+5386]
厉 [U+5389]
压 [U+538B]
厌 [U+538C]
厕 [U+5395]
厘 [U+5398]
厚 [U+539A]
原 [U+539F]
厢 [U+53A2]
厦 [U+53A6]
厨 [U+53A8]
厩 [U+53A9]
厭 [U+53AD]
厲 [U+53B2]
去 [U+53BB]
县 [U+53BF]
叁 [U+53C1]
参 [U+53C2]
參 [U+53C3]
又 [U+53C8]
叉 [U+53C9]
及 [U+53CA]
友 [U+53CB]
双 [U+53CC]
反 [U+53CD]
収 [U+53CE]
发 [U+53D1]
叔 [U+53D4]
取 [U+53D6]
受 [U+53D7]
变 [U+53D8]
叙 [U+53D9]
叛 [U+53DB]
叠 [U+53E0]
叢 [U+53E2]
口 [U+53E3]
古 [U+53E4]
句 [U+53E5]
另 [U+53E6]
只 [U+53EA]
叫 [U+53EB]
召 [U+53EC]
叭 [U+53ED]
叮 [U+53EE]
可 [U+53EF]
台 [U+53F0]
史 [U+53F2]
右 [U+53F3]
叶 [U+53F6]
号 [U+53F7]
司 [U+53F8]
叹 [U+53F9]
叼 [U+53FC]
吁 [U+5401]
吃 [U+5403]
各 [U+5404]
合 [U+5408]
吉 [U+5409]
吊 [U+540A]
同 [U+540C]
名 [U+540D]
后 [U+540E]
吏 [U+540F]
吐 [U+5410]
向 [U+5411]
吓 [U+5413]
吕 [U+5415]
吗 [U+5417]
君 [U+541B]
吝 [U+541D]
吞 [U+541E]
吟 [U+541F]
吠 [U+5420]
否 [U+5426]
吧 [U+5427]
吨 [U+5428]
吩 [U+5429]
含 [U+542B]
听 [U+542C]
吭 [U+542D]
吮 [U+542E]
启 [U+542F]
吱 [U+5431]
吳 [U+5433]
吴 [U+5434]
吵 [U+5435]
吸 [U+5438]
吹 [U+5439]
吻 [U+543B]
吼 [U+543C]
吾 [U+543E]
呀 [U+5440]
呂 [U+5442]
呆 [U+5446]
呈 [U+5448]
告 [U+544A]
呐 [U+5450]
呕 [U+5455]
员 [U+5458]
呛 [U+545B]
呜 [U+545C]
呢 [U+5462]
周 [U+5468]
味 [U+5473]
呵 [U+5475]
呸 [U+5478]
呻 [U+547B]
呼 [U+547C]
命 [U+547D]
咀 [U+5480]
咆 [U+5486]
咋 [U+548B]
和 [U+548C]
咎 [U+548E]
咏 [U+548F]
咐 [U+5490]
咒 [U+5492]
咕 [U+5495]
咖 [U+5496]
咙 [U+5499]
咨 [U+54A8]
咬 [U+54AC]
咯 [U+54AF]
咱 [U+54B1]
咳 [U+54B3]
咸 [U+54B8]
咽 [U+54BD]
哀 [U+54C0]
品 [U+54C1]
哄 [U+54C4]
哆 [U+54C6]
哇 [U+54C7]
哈 [U+54C8]
哉 [U+54C9]
响 [U+54CD]
哎 [U+54CE]
哑 [U+54D1]
哗 [U+54D7]
哟 [U+54DF]
員 [U+54E1]
哥 [U+54E5]
哦 [U+54E6]
哨 [U+54E8]
哩 [U+54E9]
哪 [U+54EA]
哭 [U+54ED]
哮 [U+54EE]
哲 [U+54F2]
哺 [U+54FA]
哼 [U+54FC]
唁 [U+5501]
唆 [U+5506]
唇 [U+5507]
唉 [U+5509]
唐 [U+5510]
唤 [U+5524]
唬 [U+552C]
售 [U+552E]
唯 [U+552F]
唱 [U+5531]
唾 [U+553E]
啃 [U+5543]
啄 [U+5544]
商 [U+5546]
啊 [U+554A]
問 [U+554F]
啞 [U+555E]
啟 [U+555F]
啡 [U+5561]
啤 [U+5564]
啥 [U+5565]
啦 [U+5566]
啪 [U+556A]
啮 [U+556E]
啸 [U+5578]
啼 [U+557C]
喀 [U+5580]
喂 [U+5582]
善 [U+5584]
喇 [U+5587]
喉 [U+5589]
喊 [U+558A]
喘 [U+5598]
喚 [U+559A]
喜 [U+559C]
喝 [U+559D]
喧 [U+55A7]
喪 [U+55AA]
喬 [U+55AC]
單 [U+55AE]
喲 [U+55B2]
喳 [U+55B3]
営 [U+55B6]
喷 [U+55B7]
喻 [U+55BB]
嗅 [U+55C5]
嗆 [U+55C6]
嗎 [U+55CE]
嗓 [U+55D3]
嗚 [U+55DA]
嗜 [U+55DC]
嗡 [U+55E1]
嗣 [U+55E3]
嗽 [U+55FD]
嘉 [U+5609]
嘎 [U+560E]
嘔 [U+5614]
嘗 [U+5617]
嘘 [U+5618]
嘛 [U+561B]
嘩 [U+5629]
嘯 [U+562F]
嘱 [U+5631]
嘲 [U+5632]
嘴 [U+5634]
嘶 [U+5636]
嘻 [U+563B]
嘿 [U+563F]
噎 [U+564E]
噓 [U+5653]
器 [U+5668]
噪 [U+566A]
噬 [U+566C]
噴 [U+5674]
噶 [U+5676]
噸 [U+5678]
嚇 [U+5687]
嚎 [U+568E]
嚏 [U+568F]
嚣 [U+56A3]
嚨 [U+56A8]
嚴 [U+56B4]
嚷 [U+56B7]
嚼 [U+56BC]
囂 [U+56C2]
囊 [U+56CA]
囑 [U+56D1]
囚 [U+56DA]
四 [U+56DB]
回 [U+56DE]
因 [U+56E0]
团 [U+56E2]
団 [U+56E3]
囤 [U+56E4]
囪 [U+56EA]
园 [U+56ED]
困 [U+56F0]
囱 [U+56F1]
围 [U+56F4]
固 [U+56FA]
国 [U+56FD]
图 [U+56FE]
圃 [U+5703]
圆 [U+5706]
圈 [U+5708]
